id,tweet,fake,real
1,the cdc currently report number death in general discrepancy death count different source small explicable the death toll stand roughly number people today,0,1
2,state reported number death small rise last tuesday southern state reported number death url,0,1
3,politically correct woman almost us pandemic excuse not reuse plastic bag url coronavirus nashville,1,0
4,india fight corona we number co vid testing laboratory india number th august number number test done user dg user stay safe india win url,0,1
5,populous state generate large case count look new case per million today number smaller state showing case per million california texas al ar id k ky la m nv sc url,0,1
6,co vid act now found on average person illinois co vid number infecting number people data show infection growth rate declined time factor stay at home order restriction put place url,0,1
7,if tested positive co vid number symptom stay home away people learn cdc s recommendation around others co vid number infection url url,0,1
8,obama call trump s coronavirus response a chaotic disaster url,1,0
9,repeat clearly obama administration leave kind game plan something like this repeat,1,0
10,retraction hydroxychloroquine chloroquine without macrolide treatment co vid number multinational registry analysis the lancet url,1,0
11,take simple daily precaution help prevent spread respiratory illness like co vid number learn protect coronavirus co vid number smile url url,0,1
12,the nba poised restart month in march reported utah jazz got number coronavirus test matter hour time u s testing sluggish url url,1,0
13,we announced first participant age cohort dosed phase number study mrna vaccine mrna number novel coronavirus read more url mrna url,0,1
14,coronavirus update india fight corona more number lakh test done number rd successive day cumulative testing date reached number co vid number test per million tpm cross number,0,1
15,protect others co vid number using public transportation practice social distancing avoid touching surface practice hand hygiene learn more url url,0,1
16,a number august number number am till total number co vid number positive case number co vid number related death manipur co vid number co vid number co vid number india co vid update corona update corona coronavirus coronavirus india coronavirus update coronavirus pandemic url,0,1
17,because donald trump negligence incompetence more number people died we nearly number million case co vid number over number million american work and yet he s patting back unbelievable,1,0
18,india fight corona india continues scale new peak co vid number test more number lakh sample tested daily number consecutive day no country achieved level high daily testing user user user user user,0,1
19,we announced shipped vial mrna number company s vaccine novel coronavirus nih used planned phase number study u s url url,0,1
20,multiple facebook post claim aussie fined found talking conspiracy co vid number the post included screenshot segment australian breakfast television show evidence claim,1,0
21,no nobel prize laureate ta suku honjo say coronavirus not natural post facebook claim in fact professor honjo said he greatly saddened name used spread misinformation this latest corona check url url,1,0
22,the nz co vid tracker app remain important useful alert level number people encouraged download app similar one keep record you re going be,0,1
23,breaking news the president cry ill rama phos a asked foreign nation depart south africa number june number due increasing case co vid number,1,0
24,we delighted number high upper middle country economy confirmed participate co vax facility number growing i urge yet joined number th september user co vid number,0,1
25,very intriguing possibility mood change anxiety may function invasion coronavirus cns brain url,0,1
26,elon musc k to new baby get a job kid url christmas co vid number elon musk christmas carol,1,0
27,a new alcohol free sanitizer developed de dan kim at hi university kenya,1,0
28,just appendix b gathering state order testing huge chunk work same go appendix d evaluation accessibility cdc data tracker,0,1
29,yesterday laboratory completed number test number testing people managed isolation quarantine routine testing either day number number stay that brings total number test completed date number,0,1
30,reusing n number mask nih found vaporized hydrogen peroxide uv light heat effective sanitizers url coronavirus url,0,1
31,user shifted focus different moment coronavirus outbreak we updated running timeline response virus url reply u recent trump moment think belong running list url,1,0
32,doctored image president donald trump shared claiming asked people chant hare krishna hare rama,1,0
33,this fourth july weekend choose spend time outdoors event gathering stay number ft apart wear cloth face cover slow spread co vid number learn url url,0,1
34,cdc recommends mother stop breastfeeding to boost vaccine efficacy,1,0
35,singapore airline haul t all flight due to coronavirus outbreak url,1,0
36,florida governor ron desantis botch co vid number response by banning corona beer order flatten pandemic curve,1,0
37,we apologise government ekiti state error we remain committed improving quality control process ensure accurate transparent reporting case url,0,1
38,nyt invented video doctor fighting coronavirus hospital,1,0
39,in may break number k case day today south alone reported number url,0,1
40,alert american with coronavirus symptom are being asked to cough directly onto president trump,1,0
41,we launched co vid number solidarity response fund far mobilized number m number individual company philanthropy in addition mobilized number billion member state generous support country user url,0,1
